Gene stable ID,WikiGene name
ENSMMUG00000023296,PGBD2
ENSMMUG00000000634,ZNF692
ENSMMUG00000037875,ZNF672
ENSMMUG00000057389,LYPD8
ENSMMUG00000005570,TRIM58
ENSMMUG00000005955,GCSAML
ENSMMUG00000005946,NLRP3
ENSMMUG00000019585,ZNF496
ENSMMUG00000004566,ZNF124
ENSMMUG00000050290,ZNF670
ENSMMUG00000016408,AHCTF1
ENSMMUG00000022208,SCCPDH
ENSMMUG00000001382,GJA8
ENSMMUG00000043586,ID3
ENSMMUG00000011380,CNST
ENSMMUG00000002585,CCDC190
ENSMMUG00000055490,TFB2M
ENSMMUG00000005777,SMYD3
ENSMMUG00000008153,NPR1
ENSMMUG00000017324,KIF26B
ENSMMUG00000008847,SH2D5
ENSMMUG00000023150,KIAA1143
ENSMMUG00000054234,SERP1
ENSMMUG00000021098,HNRNPU
ENSMMUG00000031175,COX20
ENSMMUG00000018525,PSEN2
ENSMMUG00000022310,DESI2
ENSMMUG00000012031,COL8A2
ENSMMUG00000000021,CATSPERE
ENSMMUG00000008636,COQ8A
ENSMMUG00000021388,CIART
ENSMMUG00000012028,TEKT2
ENSMMUG00000006252,AGO3
ENSMMUG00000008149,ILF2
ENSMMUG00000015664,ZBTB18
ENSMMUG00000019771,PPP2R5A
ENSMMUG00000044406,POU3F1
ENSMMUG00000042021,ASAP3
ENSMMUG00000006251,AGO1
ENSMMUG00000008836,KIF17
ENSMMUG00000002142,NENF
ENSMMUG00000019995,AKT3
ENSMMUG00000000932,PPP2R3A
ENSMMUG00000053224,SNAPIN
ENSMMUG00000015158,SLC6A9
ENSMMUG00000022196,GPR160
ENSMMUG00000008835,PINK1
ENSMMUG00000008146,CHTOP
ENSMMUG00000010977,TCEA3
ENSMMUG00000056564,CDA
ENSMMUG00000015156,CCDC24
ENSMMUG00000003343,AGO4
ENSMMUG00000000933,MSL2
ENSMMUG00000015155,B4GALT2
ENSMMUG00000045106,S100A16
ENSMMUG00000008638,CDC42BPA
ENSMMUG00000016974,DNAH1
ENSMMUG00000010973,ZNF436
ENSMMUG00000010978,S100A2
ENSMMUG00000051774,MUL1
ENSMMUG00000022199,PHC3
ENSMMUG00000019994,SDCCAG8
ENSMMUG00000022884,GLUL
ENSMMUG00000010979,S100A4
ENSMMUG00000015150,DPH2
ENSMMUG00000010970,HNRNPR
ENSMMUG00000008917,S100A6
ENSMMUG00000011221,FCAMR
ENSMMUG00000006022,VWA5B1
ENSMMUG00000001803,GJA5
ENSMMUG00000010961,CLSPN
ENSMMUG00000022171,YOD1
ENSMMUG00000012185,ATF3
ENSMMUG00000001349,CHL1
ENSMMUG00000005740,USP24
ENSMMUG00000045584,LUZP1
ENSMMUG00000013857,GCLM
ENSMMUG00000016982,BAP1
ENSMMUG00000015142,IPO13
ENSMMUG00000022170,PFKFB2
ENSMMUG00000038517,UBXN10
ENSMMUG00000015056,BATF3
ENSMMUG00000052344,PLA2G2C
ENSMMUG00000049733,PLA2G2F
ENSMMUG00000005634,RNASEL
ENSMMUG00000006865,PGLYRP4
ENSMMUG00000013090,PSMB2
ENSMMUG00000022168,C4BPB
ENSMMUG00000009773,KDM1A
ENSMMUG00000055481,RGS16
ENSMMUG00000031430,TATDN3
ENSMMUG00000011222,PRKCI
ENSMMUG00000016984,PHF7
ENSMMUG00000013738,C4BPA
ENSMMUG00000008990,RGS8
ENSMMUG00000019812,NCDN
ENSMMUG00000015924,BCAR3
ENSMMUG00000011732,FLVCR1
ENSMMUG00000000425,VPS8
