Geneid	Length	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_52Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_74Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_7Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_11Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_79Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_78Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_22Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_15Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_51Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_75Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_4Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_47Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_14Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_3Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_9Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_8Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_11Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_7Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_6Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_80Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_73Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_4Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_72Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_2BAligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_17Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_49Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_5Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_76Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_16Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_48Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_77Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_12_R1Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_2Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/ACC_3BAligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/LPFC_13Aligned.sortedByCoord.out.bam	/projectnb/paxlab/Patch_seq/data/patch_seq/bams/V1_8Aligned.sortedByCoord.out.bam
ENSMMUG00000023296	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000036181	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000634	4358	0	256	2889	0	0	0	3212	0	0	1630	62	2500	0	656	0	0	2	2	0	1132	0	654	10	3516	2	0	3113	1363	0	2	2598	24	0	365	1	0
ENSMMUG00000037875	3297	358	0	0	28	0	70	385	0	0	0	50	3506	0	301	0	0	0	0	0	0	2	331	189	0	0	0	0	0	2	0	0	22	0	0	2	100
ENSMMUG00000000632	3223	427	705	4207	821	0	20	0	0	0	0	0	0	2	0	0	0	0	879	0	0	0	700	748	0	1460	16	218	0	0	83	375	0	0	0	0	0
ENSMMUG00000064799	1207	2	0	2	2	0	107	2	0	0	0	0	0	0	0	248	0	0	242	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	54
ENSMMUG00000057389	5938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	239	0	2142	112	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMMUG00000031200	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000052613	4051	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031199	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000053841	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017095	918	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000025700	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000049101	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000048289	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017368	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000055842	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031198	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000062331	918	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000049901	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000064657	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
